wavenumber / cm^-1,absorbance / a.u.
399.193,-0.09079
400.157,3.54656
401.121,5.349746
402.085,3.19553
403.05,4.313386
404.014,3.167449
404.978,5.02646
405.942,3.475374
406.906,5.066443
407.871,3.25122
408.835,4.481303
409.799,4.098087
410.763,4.03273
411.728,3.704242
412.692,5.038977
413.656,3.2523
414.62,5.074477
415.585,3.587471
416.549,4.38473
417.513,3.693807
418.477,4.681134
419.442,4.68121
420.406,4.80964
421.37,4.34091
422.334,6.0715
423.298,4.606666
424.263,6.997534
425.227,4.3338
426.191,4.743007
427.155,3.440049
428.12,6.06735
429.084,4.151885
430.048,5.639801
431.012,4.75431
431.977,6.80545
432.941,4.269071
433.905,4.85258
434.869,3.480812
435.833,6.335781
436.798,4.67149
437.762,7.236699
438.726,4.964032
439.69,6.4424
440.655,4.796979
441.619,6.262707
442.583,5.00422
443.547,7.060009
444.512,4.837039
445.476,6.4939
446.44,3.468163
447.404,6.619373
448.369,5.15123
449.333,7.070285
450.297,5.031414
451.261,6.19511
452.225,4.323721
453.19,5.2833
454.154,4.31055
455.118,6.368551
456.082,5.1176
457.047,6.35336
458.011,5.476175
458.975,5.902388
459.939,4.97882
460.904,5.925306
461.868,5.3961
462.832,5.96738
463.796,6.113923
464.76,6.711295
465.725,5.16929
466.689,6.53264
467.653,6.002043
468.617,6.34083
469.582,4.494269
470.546,6.961063
471.51,5.58455
472.474,6.865326
473.439,6.392966
474.403,12.18977
475.367,6.661778
476.331,6.935871
477.296,5.98989
478.26,8.497847
479.224,5.424191
480.188,7.15566
481.152,6.822349
482.117,8.60691
483.081,7.105513
484.045,6.593775
485.009,6.14944
485.974,7.591438
486.938,6.370046
487.902,7.84912
488.866,6.999858
489.831,8.938076
490.795,6.00522
491.759,6.342978
492.723,6.196777
493.687,7.8011
494.652,6.19657
495.616,11.30434
496.58,8.91241
497.544,9.717093
498.509,8.503689
499.473,8.48331
500.437,6.821066
501.401,22.53728
502.366,22.53778
503.33,22.53778
504.294,22.53778
505.258,22.53778
506.223,22.53778
507.187,22.53778
508.151,22.53778
509.115,22.53778
510.079,22.53778
511.044,22.53778
512.008,22.43499
512.972,22.38213
513.936,22.09829
514.901,22.53778
515.865,22.53778
516.829,22.53778
517.793,21.87127
518.758,21.63033
519.722,22.53778
520.686,22.43411
521.65,21.38159
522.614,21.47266
523.579,22.50285
524.543,22.53778
525.507,22.44638
526.471,22.53776
527.436,22.38419
528.4,22.11588
529.364,21.5298
530.328,21.66768
531.293,21.787
532.257,22.53778
533.221,22.31747
534.185,21.54451
535.15,22.5378
536.114,22.45689
537.078,21.85559
538.042,21.81994
539.006,22.45245
539.971,22.53778
540.935,21.88164
541.899,21.5207
542.863,22.53778
543.828,22.20827
544.792,21.52369
545.756,22.25707
546.72,22.41384
547.685,22.46863
548.649,22.53778
549.613,22.2272
550.577,21.56988
551.542,21.55815
552.506,21.6742
553.47,21.9662
554.434,21.80518
555.398,22.5377
556.363,22.02725
557.327,21.70676
558.291,21.88062
559.255,22.53778
560.22,22.53778
561.184,22.30925
562.148,21.74933
563.112,21.94486
564.077,21.94686
565.041,21.94934
566.005,21.9455
566.969,22.53778
567.933,22.53778
568.898,22.05782
569.862,21.63238
570.826,21.63944
571.79,21.64322
572.755,22.39882
573.719,22.42859
574.683,22.46663
575.647,22.48818
576.612,22.48485
577.576,22.49106
578.54,22.49596
579.504,22.49585
580.469,22.50308
581.433,22.50553
582.397,22.51743
583.361,22.52128
584.325,22.52326
585.29,22.52623
586.254,22.5329
587.218,22.53778
588.182,22.53778
589.147,22.53778
590.111,22.53778
591.075,22.53778
592.039,22.53778
593.004,22.53778
593.968,22.53778
594.932,22.53778
595.896,22.53778
596.86,22.53778
597.825,22.53778
598.789,22.53778
599.753,22.53778
600.717,22.53778
601.682,22.53778
602.646,22.53778
603.61,22.53778
604.574,22.53778
605.539,22.53778
606.503,22.53778
607.467,22.53778
608.431,22.53778
609.396,22.53778
610.36,22.53778
611.324,22.53778
612.288,22.53778
613.252,22.53778
614.217,22.53778
615.181,22.53778
616.145,22.53778
617.109,22.53778
618.074,22.53778
619.038,22.53778
620.002,22.53778
620.966,22.53778
621.931,22.53778
622.895,22.53778
623.859,22.53778
624.823,22.53778
625.787,22.53778
626.752,22.53778
627.716,22.53778
628.68,22.53778
629.644,22.53778
630.609,22.53778
631.573,22.53778
632.537,22.53778
633.501,22.53778
634.466,22.53778
635.43,22.53778
636.394,22.53778
637.358,22.53778
638.323,22.53778
639.287,22.53778
640.251,22.53778
641.215,22.53778
642.179,22.53819
643.144,22.53778
644.108,9.71829
645.072,22.53737
646.036,22.53778
647.001,22.53814
647.965,11.04294
648.929,8.97249
649.893,7.77001
650.858,6.123029
651.822,7.9701
652.786,6.28048
653.75,7.250514
654.714,5.41947
655.679,6.14076
656.643,4.651608
657.607,6.4506
658.571,5.27874
659.536,7.551913
660.5,4.69402
661.464,6.12507
662.428,4.3274
663.393,6.17674
664.357,4.44304
665.321,5.84662
666.285,3.74024
667.25,5.30814
668.214,4.30968
669.178,5.46374
670.142,3.86873
671.106,5.590389
672.071,3.82634
673.035,6.14233
673.999,3.740981
674.963,5.19265
675.928,3.51243
676.892,5.725444
677.856,3.70474
678.82,5.7373
679.785,3.565457
680.749,5.5427
681.713,3.67433
682.677,5.800692
683.642,3.52578
684.606,5.18091
685.57,3.571259
686.534,5.56553
687.498,3.35298
688.463,5.044364
689.427,3.44379
690.391,6.08632
691.355,3.883203
692.32,5.94789
693.284,3.53243
694.248,5.977087
695.212,3.38539
696.177,4.84665
697.141,3.244288
698.105,5.46113
699.069,3.65245
700.033,5.442323
700.998,3.44929
701.962,5.92878
702.926,3.575675
703.89,5.26403
704.855,3.20563
705.819,5.142633
706.783,3.42894
707.747,5.75627
708.712,3.624448
709.676,5.91843
710.64,3.38238
711.604,4.880578
712.569,3.16607
713.533,5.03229
714.497,3.183794
715.461,4.89134
716.425,3.23849
717.39,5.126045
718.354,3.28695
719.318,5.18356
720.282,3.435483
721.247,5.9057
722.211,3.42608
723.175,5.345394
724.139,3.35016
725.104,5.4749
726.068,3.504371
727.032,6.20396
727.996,3.52958
728.96,6.09035
729.925,3.33819
730.889,5.39407
731.853,3.35164
732.817,5.524164
733.782,3.48458
734.746,7.3508
735.71,3.390337
736.674,5.30131
737.639,3.23493
738.603,5.123627
739.567,3.15671
740.531,5.55457
741.496,3.406966
742.46,5.71644
743.424,3.30744
744.388,6.265676
745.352,3.54813
746.317,5.9192
747.281,3.31154
748.245,5.26908
749.209,3.22977
750.174,5.38282
751.138,3.21235
752.102,5.22399
753.066,3.11979
754.031,5.45583
754.995,3.28521
755.959,5.481416
756.923,3.16231
757.887,4.86705
758.852,3.251282
759.816,5.30164
760.78,3.16059
761.744,5.527386
762.709,3.24917
763.673,6.0125
764.637,3.590803
765.601,6.1809
766.566,3.13018
767.53,5.011264
768.494,3.19094
769.458,5.49443
770.423,3.024826
771.387,5.15419
772.351,3.13721
773.315,4.906309
774.279,3.06916
775.244,4.86466
776.208,3.069854
777.172,5.64992
778.136,3.45686
779.101,6.785709
780.065,3.26321
781.029,5.6674
781.993,3.373067
782.958,6.00854
783.922,3.25467
784.886,5.120727
785.85,3.0826
786.814,5.59978
787.779,3.189481
788.743,4.86744
789.707,2.93667
790.671,4.410485
791.636,3.04141
792.6,5.08925
793.564,3.13724
794.528,5.3505
795.493,3.13111
796.457,4.794116
797.421,2.98668
798.385,4.66179
799.35,3.135934
800.314,5.94703
801.278,3.19239
802.242,4.916795
803.206,3.1722
804.171,5.66464
805.135,3.45313
806.099,5.67307
807.063,3.1892
808.028,5.26307
808.992,3.45919
809.956,5.93739
810.92,3.47052
811.885,5.80186
812.849,3.62527
813.813,5.71046
814.777,3.51709
815.742,5.46233
816.706,3.634898
817.67,5.73782
818.634,3.88479
819.598,5.874113
820.563,3.76461
821.527,6.50193
822.491,4.326218
823.455,7.90804
824.42,4.16808
825.384,6.235425
826.348,4.61413
827.312,8.03187
828.277,4.709881
829.241,22.53778
830.205,5.28149
831.169,8.357569
832.133,5.02173
833.098,13.38339
834.062,5.67603
835.026,22.53778
835.99,6.47099
836.955,22.53778
837.919,6.37971
838.883,7.89092
839.847,7.452676
840.812,22.53778
841.776,22.53778
842.74,22.53778
843.704,22.53778
844.669,22.53778
845.633,22.53778
846.597,22.53778
847.561,22.53778
848.525,22.53778
849.49,22.53778
850.454,22.53778
851.418,22.53778
852.382,22.53778
853.347,22.53778
854.311,22.53778
855.275,22.53778
856.239,22.53778
857.204,22.53778
858.168,22.53778
859.132,22.53778
860.096,22.53778
861.06,22.53778
862.025,22.53778
862.989,22.53778
863.953,22.53778
864.917,22.53778
865.882,22.53778
866.846,22.53778
867.81,22.53778
868.774,22.53778
869.739,22.53778
870.703,22.53778
871.667,22.53778
872.631,22.53778
873.596,22.53778
874.56,22.53778
875.524,22.53778
876.488,22.53778
877.452,22.53778
878.417,22.53778
879.381,22.53778
880.345,22.53778
881.309,22.53778
882.274,22.53778
883.238,22.53778
884.202,22.53778
885.166,22.53778
886.131,22.53778
887.095,22.53778
888.059,22.53778
889.023,22.53778
889.987,22.53778
890.952,22.53778
891.916,22.53778
892.88,22.53778
893.844,22.53778
894.809,22.53778
895.773,22.53778
896.737,22.53778
897.701,22.53778
898.666,22.53778
899.63,22.53778
900.594,22.53778
901.558,22.53778
902.523,22.53778
903.487,22.53778
904.451,22.53778
905.415,22.53778
906.379,22.53778
907.344,22.53778
908.308,22.53778
909.272,22.53778
910.236,22.53778
911.201,22.53778
912.165,22.53778
913.129,22.53778
914.093,22.53778
915.058,22.53778
916.022,22.53778
916.986,22.53778
917.95,22.53778
918.914,22.53778
919.879,22.53778
920.843,22.53778
921.807,22.53778
922.771,22.53778
923.736,22.53778
924.7,22.53778
925.664,22.53778
926.628,22.53778
927.593,22.53778
928.557,22.53778
929.521,22.53778
930.485,22.53778
931.45,22.53778
932.414,22.53778
933.378,22.53778
934.342,22.53778
935.306,22.53778
936.271,22.53778
937.235,22.53778
938.199,22.53778
939.163,22.53778
940.128,22.53778
941.092,22.53778
942.056,22.53778
943.02,22.53778
943.985,22.53778
944.949,22.53778
945.913,22.53778
946.877,22.53778
947.842,22.53778
948.806,22.53778
949.77,22.53778
950.734,22.53778
951.698,22.53778
952.663,22.53778
953.627,22.53778
954.591,22.53778
955.555,22.53778
956.52,22.53778
957.484,22.53778
958.448,22.53778
959.412,22.53778
960.377,22.53778
961.341,22.53778
962.305,22.53778
963.269,22.53778
964.233,22.53778
965.198,22.53778
966.162,22.53778
967.126,22.53778
968.09,22.53778
969.055,22.53778
970.019,22.53778
970.983,22.53778
971.947,22.53778
972.912,22.53832
973.876,13.84993
974.84,22.53769
975.804,16.42149
976.769,22.53786
977.733,15.1358
978.697,22.53792
979.661,12.99003
980.625,22.53774
981.59,14.33096
982.554,22.5378
983.518,13.99537
984.482,22.5377
985.447,15.3367
986.411,22.5378
987.375,14.70721
988.339,22.5379
989.304,12.85855
990.268,22.53768
991.232,14.32613
992.196,22.53778
993.16,14.23034
994.125,22.53779
995.089,13.97154
996.053,22.53782
997.017,13.37638
997.982,22.53777
998.946,13.49661
999.91,22.53776
1000.874,13.76361
1001.839,22.53771
1002.803,13.90842
1003.767,22.53778
1004.731,13.1943
1005.696,22.52841
1006.66,13.30645
1007.624,22.53779
1008.588,13.01912
1009.552,22.52159
1010.517,13.40149
1011.481,22.53776
1012.445,13.50379
1013.409,22.52511
1014.374,14.19841
1015.338,22.5362
1016.302,22.5383
1017.266,22.52736
1018.231,14.3023
1019.195,22.53764
1020.159,14.81926
1021.123,22.52978
1022.087,14.64326
1023.052,22.53696
1024.016,17.21472
1024.98,22.53778
1025.944,22.53778
1026.909,22.53778
1027.873,22.53778
1028.837,22.53778
1029.801,22.53778
1030.766,22.53778
1031.73,22.53778
1032.694,22.53778
1033.658,22.53778
1034.623,22.53778
1035.587,22.53955
1036.551,15.53199
1037.515,22.52938
1038.479,14.25599
1039.444,22.53795
1040.408,13.58268
1041.372,22.52965
1042.336,14.52254
1043.301,22.53792
1044.265,14.14299
1045.229,22.53339
1046.193,13.87534
1047.158,22.53775
1048.122,13.95477
1049.086,22.53778
1050.05,13.68845
1051.014,22.53761
1051.979,14.02316
1052.943,22.53778
1053.907,13.7479
1054.871,22.52109
1055.836,14.29469
1056.8,22.53788
1057.764,13.52596
1058.728,22.52549
1059.693,14.44404
1060.657,22.53778
1061.621,14.48829
1062.585,22.52644
1063.55,15.0679
1064.514,22.53804
1065.478,14.02068
1066.442,22.52992
