Raman shift / cm^-1,Counts
12.553,821.0
14.404,659.0
16.257,573.0
18.107,405.0
19.956,385.0
21.808,381.0
23.657,419.0
25.506,441.0
27.354,447.0
29.204,473.0
31.051,537.0
32.898,599.0
34.747,579.0
36.594,589.0
38.44,645.0
40.285,689.0
42.133,747.0
43.978,805.0
45.822,835.0
47.667,891.0
49.513,1035.0
51.356,1167.0
53.199,1335.0
55.042,1415.0
56.884,1543.0
58.729,1567.0
60.57,1593.0
62.412,1645.0
64.253,1617.0
66.093,1733.0
67.934,1833.0
69.773,1923.0
71.615,1915.0
73.454,1907.0
75.293,1851.0
77.131,1799.0
78.97,1821.0
80.807,1787.0
82.645,1753.0
84.482,1753.0
86.32,1733.0
88.157,1775.0
89.992,1759.0
91.828,1851.0
93.663,1803.0
95.498,1789.0
97.332,1765.0
99.167,1725.0
101.0,1843.0
102.834,1801.0
104.667,1921.0
106.499,1869.0
108.332,1909.0
110.164,1839.0
111.995,1903.0
113.827,1901.0
115.657,1987.0
117.488,2009.0
119.318,2087.0
121.148,2117.0
122.977,2041.0
124.806,1931.0
126.635,1823.0
128.463,1761.0
130.291,1673.0
132.119,1621.0
133.946,1553.0
135.771,1553.0
137.598,1563.0
139.424,1543.0
141.25,1497.0
143.075,1495.0
144.9,1407.0
146.725,1453.0
148.55,1505.0
150.374,1459.0
152.195,1423.0
154.019,1443.0
155.842,1463.0
157.664,1457.0
159.487,1491.0
161.309,1459.0
163.128,1541.0
164.949,1553.0
166.77,1633.0
168.591,1725.0
170.411,1829.0
172.228,1979.0
174.048,2251.0
175.867,2777.0
177.686,3201.0
179.502,3139.0
181.32,2877.0
183.138,2591.0
184.955,2347.0
186.77,2043.0
188.586,1857.0
190.403,1703.0
192.218,1567.0
194.032,1599.0
195.847,1567.0
197.662,1561.0
199.474,1597.0
201.288,1551.0
203.102,1633.0
204.913,1665.0
206.727,1583.0
208.539,1687.0
210.349,1725.0
212.161,1763.0
213.973,1781.0
215.782,1733.0
217.593,1791.0
219.402,1693.0
221.212,1743.0
223.022,1721.0
224.829,1679.0
226.638,1711.0
228.445,1703.0
230.254,1663.0
232.06,1699.0
233.867,1685.0
235.675,1729.0
237.48,1687.0
239.286,1661.0
241.091,1655.0
242.897,1663.0
244.7,1645.0
246.506,1725.0
248.308,1811.0
250.113,1827.0
251.915,1923.0
253.719,2015.0
255.521,1999.0
257.324,2023.0
259.124,1981.0
260.927,1903.0
262.727,1823.0
264.527,1775.0
266.328,1657.0
268.127,1675.0
269.928,1645.0
271.726,1583.0
273.526,1589.0
275.324,1547.0
277.121,1595.0
278.92,1575.0
280.717,1527.0
282.515,1547.0
284.311,1543.0
286.106,1523.0
287.904,1555.0
289.698,1571.0
291.493,1593.0
293.289,1599.0
295.083,1589.0
296.876,1581.0
298.671,1523.0
300.464,1601.0
302.257,1517.0
304.051,1539.0
305.842,1501.0
307.634,1447.0
309.425,1433.0
311.217,1437.0
313.008,1417.0
314.798,1385.0
316.587,1329.0
318.379,1343.0
320.167,1313.0
321.956,1309.0
323.744,1299.0
325.534,1241.0
327.322,1275.0
329.109,1267.0
330.896,1223.0
332.682,1271.0
334.47,1195.0
